title,seg
美元指數連6跌、Fed升息減緩，比特幣能上攻3萬鎂？,"['指數連', 'Fed', '減緩', '比特幣', '萬鎂', '升息', '上攻']"
香港勝利證券獲證監會批准「可買賣加密貨幣」，提供客戶投資組合,"['勝利', '證券', '獲證', '監會', '可買', '加密貨幣', '客戶', '組合', '批准', '香港', '提供']"
孫宇晨遭SEC突襲起訴！哪些孫哥系代幣岌岌可危？,"['孫宇晨', 'SEC', '突襲', '起訴', '孫哥', '系代幣', '岌岌可危', '哪些']"
2月NFT市場報告》Blur交易量狠甩OpenSea、Polygon成第二大交易鏈..,"['NFT', '報告', 'Blur', 'OpenSea', 'Polygon', '..', '交易量', '第二', '交易']"
Layer Zero全鏈生態整理：有哪些潛在的空投機會？,"['Layer', 'Zero', '全鏈', '生態', '潛在', '機會', '哪些', '整理']"
Arbitrum 反女巫機制大漏洞！近15萬地址逃過檢測，佔空投總量超20%,"['Arbitrum', '機制', '15', '逃過', '檢測', '總量', '20%', '女巫', '漏洞', '地址']"
"JPEX第二階段NFT｜YOBI 認購次數超25,000次，超額認購348%，申購逼近最終日","['JPEX', '階段', 'NFT', 'YOBI', '認購次', '數超', '25', '000', '超額', '認購', '348%', '申購', '最終', '逼近', '第二']"
快訊》幣安將於24日上線「Space ID 代幣 $ID」1-20倍U本位永續合約,"['ID', '快訊', '幣安將', '24', '上線', 'Space', '代幣', '20', '永續', '合約', '本位']"
全球首家銀行可提存USDC！Xapo Bank合作Circle：比SWIFT更快更便宜,"['提存', 'USDC', 'Xapo', 'Bank', 'Circle', 'SWIFT', '更快', '首家', '便宜', '合作']"
幫孫宇晨打廣告！SEC 追殺琳賽蘿涵等名人「非法兜售TRX、BTT」,"['幫孫宇晨', '打廣告', 'SEC', '追殺琳', '賽蘿涵', 'TRX', 'BTT', '兜售', '名人', '非法']"
ChatGPT 通過 Google 三級工程師面試，年薪破 500 萬台幣！,"['ChatGPT', '通過', 'Google', '三級', '師面試', '500', '萬台幣', '年薪', '工程']"
FTX受害者必讀》10年交易所維權經驗的Tom告訴你：該自己請律師？要等多久？Steaker疑點？,"['FTX', '必讀', '維權', '經驗', 'Tom', '告訴', '請律師', 'Steaker', '疑點', '受害者', '多久', '自己']"
