title,seg
Gogoro 與 foodpanda 合作，將於新加坡推行電動機車換電系統,"['Gogoro', 'foodpanda', '將於', '電動', '機車換', '電系統', '新加坡', '推行', '合作']"
團隊協作新的想像，微軟推出激似 Notion 的新工具,"['團隊', '協作', '微軟', '激似', 'Notion', '想像', '工具', '推出']"
看好生成式 AI 潛力，中華電有望從客戶服務切入應用,"['生成式', 'AI', '潛力', '中華電', '客戶', '服務', '應用', '切入', '看好', '有望']"
童子賢：AI 還在中學階段未成熟，取代哪些產業不可知,"['AI', '還在', '中學階段', '未成熟', '童子', '可知', '哪些', '取代']"
全球首枚 3D 列印火箭成功發射，惜未進入軌道,"['列印', '首枚', '3D', '發射', '進入', '軌道', '火箭', '成功']"
意外偏「鷹」連五升！央行總裁楊金龍宣布升息半碼,"['連五升', '總裁', '楊金龍', '半碼', '升息', '意外', '央行']"
數位轉型支持戴爾伺服器業績成長，全球裁員不影響市場發展,"['伺服器', '數位', '轉型', '戴爾', '業績', '成長', '裁員', '影響', '發展', '支持']"
GitHub 推出支援 GPT-4 的新版 Copilot，工程師動口就可開發程式,"['GitHub', 'GPT', 'Copilot', '師動口', '開發', '程式', '新版', '支援', '工程', '推出']"
Arm 傳打算大幅調高權利金，已知會聯發科、高通,"['利金', 'Arm', '調高權', '會聯', '發科', '高通', '已知', '打算', '大幅']"
瞄準醫療、智慧平台千億美元商機！睿生光電 3/27 以 70 元掛牌上市,"['瞄準', '醫療', '千億', '商機', '27', '70', '掛牌', '生光', '智慧', '平台', '上市']"
AI 繪圖太直譯引熱議，百度：文生圖會快速更新,"['文生', 'AI', '繪圖', '直譯', '引熱議', '圖會', '百度', '更新', '快速']"
半導體業不景氣，南韓驅動 IC 廠美格納縮減人力,"['半導', '體業', '不景氣', '南韓', '驅動', 'IC', '美格', '納縮減', '人力']"
動盪結束？傳東芝接受 JIP 約 2 兆日圓收購要約,"['動盪', '結束', '傳東芝', 'JIP', '圓收', '購要', '接受']"
Siegel：人們若重新信任銀行，比特幣將再次回落,"['Siegel', '人們', '比特幣', '信任', '回落', '再次', '重新']"
分析師看好電池類股成長空間高達 70%，但有三家要謹慎評估,"['電池類', '股成長', '空間', '高達', '70%', '謹慎', '三家', '看好']"
"鮑爾：美國擴表 3,000億美元「與貨幣政策無關」，有必要 Fed將續升息！","['鮑爾', '擴表', '000', '貨幣', '無關', 'Fed', '將續', '升息', '必要', '政策']"
比爾蓋茲宣布「AI時代」來了！點名 OpenAI GPT 成企業勝出關鍵,"['比爾蓋茲', 'AI', '時代', '點名', 'OpenAI', 'GPT', '成企業', '勝出', '關鍵']"
拜登政府敵視加密貨幣「沒基本價值」！白宮報告：穩定幣、DeFi 有劇烈風險,"['拜登', '敵視', '加密貨幣', '價值', '白宮', '報告', '穩定幣', 'DeFi', '劇烈', '基本']"
快訊》瑞銀(UBS) 擬以 10 億美元「收購瑞士信貸」！不到全盛期市值 2%,"['快訊', '瑞銀', 'UBS', '擬以', '收購', '信貸', '2%', '全盛期', '瑞士', '市值', '不到']"
台灣加密貨幣監管》中央社 : 行政院最快3月底公布「金管會」為主管機關,"['加密貨幣', '金管會', '機關', '中央社', '行政院', '主管', '月底']"
FTX重啟傳言加持》FTT大漲53%至1.75鎂！投行Jefferies傳接觸競標者,"['加持', 'FTX', '重啟', '傳言', 'FTT', '大漲', '53%', '1.75', '投行', 'Jefferies', '傳接觸', '競標者']"
BitMEX創辦人：隨央行政策大轉向，比特幣將「漲至100萬美元」,"['BitMEX', '創辦', '大轉', '比特幣', '漲至', '央行', '政策']"
瑞信危機》進入關鍵時刻！UBS最晚19日敲定收購協議；貝萊德已否認競購,"['瑞信', '進入', '關鍵', '時刻', 'UBS', '19', '收購', '協議', '貝萊德', '否認', '競購', '最晚', '敲定']"
FTX重啟談判》投行Jefferies傳與競購方接觸！Zhu Su：FTX 2.0給債權人第二次機會,"['FTX', '重啟', '談判', '投行', 'Jefferies', '競購方', '接觸', 'Zhu', 'Su', '2.0', '債權人', '機會', '第二次']"
快訊》矽谷銀行現金不足22億鎂！正式申請「第11章破產保護」,"['快訊', '22', '申請', '章破產', '保護', '不足', '正式']"
ChatGPT 通過 Google 三級工程師面試，年薪破 500 萬台幣！,"['ChatGPT', '通過', 'Google', '三級', '師面試', '500', '萬台幣', '年薪', '工程']"
FTX受害者必讀》10年交易所維權經驗的Tom告訴你：該自己請律師？要等多久？Steaker疑點？,"['FTX', '必讀', '維權', '經驗', 'Tom', '告訴', '請律師', 'Steaker', '疑點', '受害者', '多久', '自己']"
一個散戶爆倉200萬美元的日記：輕生前留下「我曾以為加密貨幣能賺錢」,"['一個', '散戶', '爆倉', '200', '日記', '加密貨幣', '生前', '留下']"
下個空投擼大毛？速覽 Lens 協議上值得關注的新項目,"['下個', '速覽', 'Lens', '協議', '關注', '項目', '大毛', '值得']"
美元指數連6跌、Fed升息減緩，比特幣能上攻3萬鎂？,"['指數連', 'Fed', '減緩', '比特幣', '萬鎂', '升息', '上攻']"
香港Web3倡議》HashKey、arkreen 與合作伙伴助DePIN生態落地,"['Web3', '倡議', 'HashKey', 'arkreen', 'DePIN', '生態', '合作伙伴', '落地', '香港']"
