title,seg
瓶裝水是暴利，且加劇缺水與氣候危機,"['瓶裝水', '加劇', '氣候', '缺水', '暴利']"
摩爾辭世，張忠謀：半導體第一代共同奮鬥朋友所剩無幾,"['摩爾辭', '張忠謀', '半導體', '奮鬥', '無幾', '所剩', '第一代', '朋友', '共同']"
全球風電新增裝置容量降至 86GW！彭博：金風科技取代維斯塔斯奪冠,"['斯塔斯', '風電', '裝置', '86GW', '金風', '奪冠', '彭博', '容量', '取代', '新增', '科技']"
下一隻汽車共享獨角獸 Turo，去年營收成長 59% 營收突破 7 億美元,"['汽車', '獨角獸', 'Turo', '59%', '收成', '共享', '突破']"
別偷 AirPods 耳機，它基本上就是個 AirTag,"['別偷', 'AirPods', '耳機', 'AirTag', '基本上', '就是']"
IBM 加拿大投資為第一步，美加計劃發展「雙邊半導體走道」,"['美加', 'IBM', '投資為', '計劃', '發展', '雙邊', '半導體', '第一步', '加拿大']"
退休年齡延至 64 歲，引發法國百萬人上街抗議,"['年齡', '64', '引發法', '國百萬人', '抗議', '延至', '上街', '退休']"
污水處理不再昂貴困難，以木材輕鬆去除 80% 染料有毒物,"['處理', '昂貴', '困難', '80%', '毒物', '去除', '污水', '染料', '木材', '不再']"
郭明錤：AirPods Pro 2 將推 USB-C 版，平價版似乎暫沒計畫,"['AirPods', 'Pro', '將推', 'USB', '平價版', '沒計畫', '似乎']"
全台第三座離岸風場啟動，海能風場 376MW 全數完工併聯,"['風場', '第三座', '離岸', '啟動', '海能', '376MW', '全數', '完工']"
美國最新研究發現！阿茲海默症早期徵兆可能在眼睛裡,"['徵兆', '發現', '阿茲海默症', '早期', '最新', '眼睛', '研究']"
恐慌蔓延慘遭殃及，分析師強調：德意志銀行不是下個瑞士信貸,"['師強', '下個', '信貸', '遭殃', '德意志', '蔓延', '恐慌', '瑞士', '不是']"
生產移出中國，傳蘋果供應商和碩將在印度設第二廠,"['生產', '傳蘋果', '應商', '碩將', '移出', '印度', '第二']"
華府制裁使中國不僅取得晶片難，登月計畫也受挫,"['華府', '不僅', '晶片', '登月', '受挫', '制裁', '取得']"
英特爾聯合創辨人，摩爾定律發明人 Gordon Moore 辭世，享耆壽 94 歲,"['爾聯合', '創辨人', '摩爾', 'Gordon', 'Moore', '辭世', '享耆', '94', '英特', '明人', '定律']"
生產移出中國，傳蘋果供應商和碩將在印度設第二廠,"['生產', '傳蘋果', '應商', '碩將', '移出', '印度', '第二']"
華府制裁使中國不僅取得晶片難，登月計畫也受挫,"['華府', '不僅', '晶片', '登月', '受挫', '制裁', '取得']"
英特爾聯合創辨人、摩爾定律發明人 Gordon Moore 辭世，享耆壽 94 歲,"['爾聯合', '創辨人', '摩爾', 'Gordon', 'Moore', '辭世', '享耆', '94', '英特', '明人', '定律']"
Blue Origin 公布去年 9 月火箭事故調查結果，預計今年底前恢復飛行,"['Blue', 'Origin', '調查', '結果', '預計', '飛行', '今年底', '火箭', '事故']"
美記者獲准參訪台積電，盛讚半導體技術達神境界,"['美記者', '獲准', '參訪', '境界']"
Polestar 2 擊敗特斯拉 Model 3  Y，成德國最受歡迎公司車,"['Polestar', '擊敗', 'Model', '成德國', '歡迎', '特斯拉', '最受', '公司']"
台積電總裁魏哲家獲 400 張限制股票，市值 2.156 億元,"['台積', '電總裁', '魏哲家', '400', '2.156', '億元', '市值', '股票']"
高雄 330 起水情橙燈，科學園區總量管制節水 10%,"['330', '橙燈', '科學園區', '總量', '節水', '10%', '水情', '高雄', '管制']"
貝佐斯親自提案 Alexa、無人超市都被裁，為何驚世創意行不通？,"['貝佐斯親', 'Alexa', '無人', '為何', '驚世', '創意', '行不通', '提案', '超市']"
台灣產業無懼「去台化」，半導體帶頭衝開創全球大國民格局,"['台灣產業', '無懼', '台化', '半導體', '帶頭', '衝開', '大國民', '格局']"
網友產生川普被捕圖瘋傳，Midjourney 暫停其使用權限,"['網友產', '生川普', '圖瘋傳', 'Midjourney', '暫停', '權限', '被捕', '使用']"
"全球僅 1,002 人獲頭銜，台灣就有 14 位！揭密 Google 最神祕專家計畫「開發者專家群」","['002', '獲頭銜', '14', 'Google', '最神', '專家', '開發者', '專家群', '揭密']"
友達拚轉型三家公司最關鍵，彭双浪：2025 年非面板營收超過二成,"['友達', '轉型', '最關鍵', '彭双浪', '2025', '超過', '二成', '面板', '三家', '公司']"
高盛研究用生成式 AI 工具協助系統開發,"['生成式', 'AI', '協助', '系統', '開發', '高盛', '工具', '研究']"
全球電動車市場快速成長下，伴隨各種資安風險,"['電動車', '成長', '隨各種', '資安風險', '快速']"
用想的就好，澳洲開發機器狗腦波控制技術,"['開發', '機器', '腦波', '技術', '澳洲']"
科學家狂想？嚴酷行星的晨昏交界處可能有生命,"['狂想', '科學家', '嚴酷', '晨昏', '交界', '行星', '生命']"
Ivacy VPN 限時優惠，每月僅需 1 美元解鎖 Netflix、Hulu 地區限制,"['Ivacy', 'VPN', '限時', '優惠', '僅需', '解鎖', 'Netflix', 'Hulu', '地區', '每月']"
搶電費上漲、節能補助商機！東元商用空調第三季出貨估年成長 40%,"['搶電費', '節能', '補助', '商機', '東元', '空調', '出貨', '估年', '成長', '40%', '第三季', '商用']"
中國私募基金曾嘗試併購，南韓 OLED DDIC 大廠 MagnaChip 裁員,"['曾嘗試', '南韓', 'OLED', 'DDIC', '大廠', 'MagnaChip', '裁員', '私募', '基金']"
SpaceX 升級的星鏈 V2 mini 版衛星，進入太空後表現不佳,"['SpaceX', '升級', '星鏈', 'V2', 'mini', '版衛星', '進入', '表現', '太空', '不佳']"
蘋果 Micro LED 專利申請，很可能用於 Apple Watch？,"['Micro', 'LED', '專利', '申請', 'Apple', 'Watch']"
慧洋每股配發現金股利 6.5 元！配發率 46%、殖利率 10.2%,"['慧洋', '6.5', '46%', '10.2%', '利率']"
華碩人工智慧內視鏡病灶輔助系統強化檢出大腸癌機率,"['華碩', '人工智慧', '內視鏡', '輔助', '系統', '強化', '檢出', '大腸癌', '機率', '病灶']"
七年來次高！永豐金配發現金股利 0.6 元、股票股利 0.2 元,"['來次', '永豐金', '0.6', '0.2', '七年', '股票']"
罕見的中美合作，電車新創 Mullen 取得中國純電超跑代理權,"['罕見', '電車', 'Mullen', '純電超', '中美合作', '代理', '取得']"
應付美國制裁，中國釋放頂尖晶片投資者加強發展,"['應付', '中國釋', '放頂', '投資者', '加強', '發展', '晶片', '制裁']"
俄羅斯找到方法，烏軍敵後作戰的星鏈設備開始遭到干擾,"['俄羅斯', '烏軍敵後作戰', '星鏈', '設備', '開始', '干擾', '遭到', '找到', '方法']"
鼎炫-KY 辦理現金減資兩成！股東減資+配息可領回 4 元,"['減資', '鼎炫', 'KY', '辦理', '兩成', '配息', '領回']"
再生醫療里程碑！長聖幹細胞新藥獲美台 FDA 核准進入二期臨床,"['醫療', '聖幹', '細胞', '新藥', '獲美台', 'FDA', '進入', '臨床', '里程碑', '二期', '再生', '核准']"
Q3 全球庫存見底？Trafigura：銅價可能飆歷史高,"['Q3', '庫存', '見底', 'Trafigura', '銅價', '歷史']"
傳蘋果將年砸 10 億美元進軍大螢幕，戲院類股嗨,"['傳蘋果', '將年', '進軍大', '螢幕', '戲院', '類股']"
